block,pairs,x_1,w_1,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,x_7,w_7,x_8,w_8,dark_v,voltage_mean_v,voltage_std_v,range_v,pred_v
10,1+3+8,0.932752,0.307137,0.000000,0.000000,0.465020,0.383615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.135444,0.311716,-5.08586321e-05,0.0234915988,0.00074716441,0.1,0.0224601598
10,1+3+8,0.367782,0.378596,0.000000,0.000000,0.457877,0.446195,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.852461,0.489630,-5.08586321e-05,0.0704920713,0.00138168753,0.1,0.0695194068
10,1+3+8,0.986582,0.948900,0.000000,0.000000,0.448733,0.936766,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.518116,0.827146,-5.08586321e-05,0.113024164,0.00287232156,0.2,0.112344189
10,1+3+8,0.990642,0.911950,0.000000,0.000000,0.189549,0.789721,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.322448,0.780561,-5.08586321e-05,0.0609307159,0.00135216272,0.1,0.0593738083
10,1+3+8,0.909839,0.991419,0.000000,0.000000,0.892825,0.806345,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.667502,0.118718,-5.08586321e-05,0.0569078013,0.00145531218,0.1,0.0540760886
10,1+3+8,0.956389,0.263326,0.000000,0.000000,0.375825,0.260891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.691640,0.244385,-5.08586321e-05,0.0393199941,0.000959062504,0.1,0.0393421708
10,1+3+8,0.668973,0.346089,0.000000,0.000000,0.556914,0.497063,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247790,0.392322,-5.08586321e-05,0.0413251781,0.000911485728,0.1,0.0406153213
10,1+3+8,0.680013,0.101000,0.000000,0.000000,0.107470,0.453537,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.881666,0.821858,-5.08586321e-05,0.0792986094,0.00230297836,0.2,0.074045224
11,1+4+5,0.947626,0.986866,0.000000,0.000000,0.000000,0.000000,0.450918,0.788082,0.694619,0.910000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0102471969,0.000501277986,0.1,0.00883529412
11,1+4+5,0.784460,0.213987,0.000000,0.000000,0.000000,0.000000,0.941623,0.891558,0.594130,0.583727,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0249452947,0.000895977762,0.1,0.0221904675
11,1+4+5,0.296567,0.310303,0.000000,0.000000,0.000000,0.000000,0.983648,0.838921,0.240892,0.707815,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0177228335,0.000730798846,0.1,0.0161536454
11,1+4+5,0.253700,0.240444,0.000000,0.000000,0.000000,0.000000,0.227033,0.517013,0.534360,0.788225,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.017415791,0.00079707129,0.1,0.0164125392
11,1+4+5,0.804995,0.939561,0.000000,0.000000,0.000000,0.000000,0.693495,0.452510,0.591808,0.267756,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0040912005,0.000277451245,0.1,0.00368875369
11,1+4+5,0.415472,0.297270,0.000000,0.000000,0.000000,0.000000,0.670871,0.791331,0.962068,0.386493,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0309286025,0.0010054527,0.1,0.0277306989
11,1+4+5,0.746633,0.752556,0.000000,0.000000,0.000000,0.000000,0.691078,0.338062,0.664063,0.379946,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00766177256,0.00037453962,0.1,0.00703003416
11,1+4+5,0.658268,0.244259,0.000000,0.000000,0.000000,0.000000,0.284158,0.614635,0.530626,0.353153,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00924436044,0.000399195325,0.1,0.00852948021
12,1+4+6,0.262571,0.355061,0.000000,0.000000,0.000000,0.000000,0.552417,0.118224,0.000000,0.000000,0.701980,0.651787,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00718804154,0.000345956196,0.1,0.00692566731
12,1+4+6,0.858951,0.201670,0.000000,0.000000,0.000000,0.000000,0.776929,0.157781,0.000000,0.000000,0.434733,0.426532,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.000411844179,9.54162456e-05,0.1,0.00048648067
12,1+4+6,0.210831,0.922885,0.000000,0.000000,0.000000,0.000000,0.637620,0.881965,0.000000,0.000000,0.967010,0.987253,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0282392608,0.000911085598,0.1,0.0280595875
12,1+4+6,0.107347,0.318099,0.000000,0.000000,0.000000,0.000000,0.388118,0.637093,0.000000,0.000000,0.701005,0.528673,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00707633048,0.000381073351,0.1,0.00681918632
12,1+4+6,0.167958,0.412676,0.000000,0.000000,0.000000,0.000000,0.446247,0.871431,0.000000,0.000000,0.882024,0.693539,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.0142077402,0.000633513725,0.1,0.0130900133
12,1+4+6,0.192121,0.814588,0.000000,0.000000,0.000000,0.000000,0.364571,0.443197,0.000000,0.000000,0.858348,0.103970,0.000000,0.000000,0.000000,0.000000,-5.08586321e-05,0.00131044758,0.000152867461,0.1,0.00131585072
