# step-6 v2 measurement, x/w replaced by delivered
# source: calib_step6v2_meas_0904_0140.csv  (0904 run, encoded with method=interp)
# delivered = sin^2(Delta(L)/2) from the fitted transfer model in calib_step3b_0903_1517.json
# *_cmd columns are the values the run asked for; level_* is the grayscale it actually wrote
trial,pair_index,x,w,product,voltage_mean_v,voltage_std_v,std_ratio,x_cmd,w_cmd,level_x,level_w
1,5,0.000807703293,0.999482148,0.000807285022,-3.33358275e-05,8.46734284e-05,2.54001,0,1,395,860
1,5,0.500800234,0.00162323316,0.000812915544,-3.84987189e-05,6.94578241e-05,1.80416,0.5,0,615,395
1,5,0.000807703293,0.500664853,0.00040438865,-4.61580745e-05,6.72610564e-05,1.45719,0,0.5,395,625
1,5,0.000807703293,0.00162323316,1.31109077e-06,-7.02478407e-05,6.23620238e-05,0.887743,0,0,395,395
2,5,0.987739713,0.943496415,0.931928879,0.0389617385,0.00174489506,0.0447848,1,0.9,875,793
2,5,0.987739713,0.696270672,0.687734193,0.0286428239,0.00152261529,0.0531587,1,0.7,875,687
2,5,0.987739713,0.458560633,0.452938548,0.01910615,0.00128589336,0.0673026,1,0.45,875,612
2,5,0.987739713,0.252662094,0.249564384,0.00988288635,0.00089555676,0.0906169,1,0.25,875,545
2,5,0.500800234,0.500664853,0.250733075,0.0101212373,0.000825920284,0.0816027,0.5,0.5,615,625
2,5,0.987739713,0.211628903,0.209034272,0.00789582374,0.000748483189,0.0947948,1,0.2,875,530
2,5,0.987739713,0.00162323316,0.00160333185,-1.45849896e-05,8.5404299e-05,5.85563,1,0,875,395
3,5,0.987739713,0.943496415,0.931928879,0.0383198977,0.0017726006,0.046258,1,0.9,875,793
3,5,0.987739713,0.696270672,0.687734193,0.0284614937,0.00143320199,0.0503558,1,0.7,875,687
3,5,0.987739713,0.458560633,0.452938548,0.0189346131,0.00137257768,0.0724904,1,0.45,875,612
3,5,0.987739713,0.211628903,0.209034272,0.00792924031,0.000786350871,0.099171,1,0.2,875,530
4,5,0.987739713,0.943496415,0.931928879,0.038668621,0.00192510852,0.0497848,1,0.9,875,793
5,5,0.987739713,0.943496415,0.931928879,0.0385588653,0.00169348866,0.0439196,1,0.9,875,793
