block,pairs,v,x_2,w_2,x_3,w_3,x_4,w_4,x_5,w_5,x_6,w_6,dark_v,voltage_mean_v,voltage_std_v,std_ratio,pred_v
12,4+5,0.74,0,0,0,0,0.74,0.74,0.74,0.74,0,0,-8.10112243e-05,0.0528658515,0.00132707954,0.0251028,0.0497348202
12,4+5,0.9,0,0,0,0,0.9,0.9,0.9,0.9,0,0,-8.10112243e-05,0.0775954438,0.00148664099,0.0191589,0.073550179
13,4+6,0.1,0,0,0,0,0.1,0.1,0,0,0.1,0.1,-8.10112243e-05,0.000145741658,7.2577576e-05,0.497988,0.00018260711
13,4+6,0.26,0,0,0,0,0.26,0.26,0,0,0.26,0.26,-8.10112243e-05,0.00122526672,0.000158183343,0.129101,0.00118371387
13,4+6,0.42,0,0,0,0,0.42,0.42,0,0,0.42,0.42,-8.10112243e-05,0.00340629028,0.000241400237,0.070869,0.00305735647
13,4+6,0.58,0,0,0,0,0.58,0.58,0,0,0.58,0.58,-8.10112243e-05,0.00639481763,0.000372086706,0.0581857,0.00580353493
13,4+6,0.74,0,0,0,0,0.74,0.74,0,0,0.74,0.74,-8.10112243e-05,0.0103343043,0.000544319962,0.0526712,0.00942224925
13,4+6,0.9,0,0,0,0,0.9,0.9,0,0,0.9,0.9,-8.10112243e-05,0.0144555307,0.000677058652,0.0468373,0.0139134994
14,5+6,0.1,0,0,0,0,0,0,0.1,0.1,0.1,0.1,-8.10112243e-05,0.00118687032,0.000135821468,0.114437,0.00099559559
14,5+6,0.26,0,0,0,0,0,0,0.26,0.26,0.26,0.26,-8.10112243e-05,0.00738585256,0.000367212812,0.0497184,0.00668657261
14,5+6,0.42,0,0,0,0,0,0,0.42,0.42,0.42,0.42,-8.10112243e-05,0.0197382386,0.000647615546,0.0328102,0.0174212716
14,5+6,0.58,0,0,0,0,0,0,0.58,0.58,0.58,0.58,-8.10112243e-05,0.0372381465,0.000941022685,0.0252704,0.0331996924
14,5+6,0.74,0,0,0,0,0,0,0.74,0.74,0.74,0.74,-8.10112243e-05,0.0594904163,0.00163737545,0.0275233,0.0540218353
14,5+6,0.9,0,0,0,0,0,0,0.9,0.9,0.9,0.9,-8.10112243e-05,0.0877381081,0.00206851747,0.023576,0.0798877
# step7_json,C:\Users\weishan\Desktop\RbONN\src\calib_data\run_0908_1444\calib_step7_result_0908_1528.json
# pred_method,auto
# sweep,min=0.1,max=0.9,points=6,x_eq_w
